,Cidade,Estado,AreaUrbana
312,Ituiutaba,MG,27.3399
313,Lagarto,SE,27.2336
314,Caçapava,SP,27.2246
315,Itabuna,,27.1635
316,Guapimirim,RJ,27.1484
317,São Gonçalo do Amarante,CE,27.0622
318,Campo Mourão,PR,27.0458
319,Assis,SP,27.0427
320,Mafra,SC,27.0296
321,Cubatão,SP,26.9499
322,Bragança,,26.9469
323,Balsas,MA,26.9199
324,Cruzeiro do Sul,AC,26.9102
325,Santa Rosa,RS,26.7887
326,Igarassu,PE,26.7834
327,Extrema,MG,26.7613
328,Santo Ângelo,RS,26.4748
329,Carazinho,RS,26.3514
330,Camaragibe,PE,26.322
331,Cruz Alta,RS,26.3003
332,Indaial,SC,26.2463
333,São Vicente,SP,26.2317
334,Ijuí,RS,26.1838
335,Abaetetuba,,26.1655
336,Itaúna,MG,26.0895
337,Cascavel,CE,25.815
338,Jarinu,SP,25.736
339,Pará de Minas,MG,25.7228
340,Votuporanga,SP,25.6509
341,Itabira,MG,25.6269
342,Jaboticatubas,MG,25.6171
343,São Francisco de Itabapoana,RJ,25.6124
344,Votorantim,SP,25.5406
345,Sapucaia do Sul,RS,25.4238
346,Içara,SC,25.4094
347,Itapipoca,CE,25.4018
348,Tramandaí,RS,25.3493
349,Leme,SP,25.2421
350,Goiana,PE,25.2075
351,Venâncio Aires,RS,25.2058
352,Irati,PR,25.1879
353,Osório,RS,24.9244
354,São João da Boa Vista,SP,24.9131
355,Cachoeira do Sul,RS,24.9111
356,Picos,PI,24.7503
357,Cachoeirinha,RS,24.7179
358,Mateus Leme,MG,24.7114
359,Ribeirão Pires,SP,24.6212
360,Jaboticabal,SP,24.5807
361,Planaltina,GO,24.5539
362,Cachoeiras de Macacu,RJ,24.5453
363,Passos,MG,24.5124
364,Montenegro,RS,24.4684
365,Mineiros,GO,24.358
366,Sant'Ana do Livramento,RS,24.3109
367,Eunápolis,,24.2477
368,Lavras,MG,24.1512
369,Capão da Canoa,RS,24.1052
370,Jaguariúna,SP,24.0386
371,São João del-Rei,MG,24.0179
372,Eldorado do Sul,RS,24.0114
373,Teófilo Otoni,MG,24.0052
374,Campos do Jordão,SP,23.9904
375,Navegantes,SC,23.8914
376,Timbó,SC,23.7804
377,Luís Correia,PI,23.7032
378,Sarandi,PR,23.6519
379,Torres,RS,23.6392
380,Curvelo,MG,23.6312
381,Campo Limpo Paulista,SP,23.6015
382,Primavera do Leste,MT,23.5927
383,Vacaria,RS,23.5927
384,Gravatá,PE,23.4796
385,Garanhuns,PE,23.4145
386,Matão,SP,23.3691
387,Embu-Guaçu,SP,23.3597
388,Canoinhas,SC,23.3201
389,São Cristóvão,SE,23.2422
390,Rolim de Moura,RO,23.2247
391,Itapira,SP,23.1583
392,Canaã dos Carajás,,23.1277
393,Pomerode,SC,23.0944
394,Corumbá,MS,23.0607
395,Fernandópolis,SP,23.0517
396,Guanambi,,23.037
397,Brumadinho,MG,23.0242
398,Extremoz,RN,22.9874
399,Mococa,SP,22.9444
400,Lucas do Rio Verde,MT,22.8797
401,Lins,SP,22.8165
402,Congonhas do Norte,MG,22.7725
403,Santa Rita,PB,22.7408
404,Juína,MT,22.718
405,Arujá,SP,22.7045
